"ID","SCLC2001","SCLC2002","SCLC2003","SCLC2004","SCLC2005","SCLC2006","SCLC2007","SCLC2008","SCLC2009","SCLC2010","SCLC2011","SCLC2012","SCLC2013","SCLC2014","SCLC2015","SCLC2016","SCLC2017","SCLC2018","SCLC2019","SCLC2020","SCLC2021","SCLC2022","SCLC2023"
1,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
2,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
3,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
4,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
5,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
6,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
7,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","Increase_actorCount_Increase_percNeg","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
8,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
9,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","Increase_actorCount_Increase_percNeg","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
10,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
11,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
12,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
13,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
14,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
15,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
16,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
17,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
